smiles	idnumber
O=C(Nc1ncnc2c1ncn2C1OC(COC(=O)c2ccccc2)C2OS(=O)(=O)OC21)c1ccccc1	Z56786758
CCC(=O)c1ccc(OCC(O)Cn2c([N+](=O)[O-])nc3c(=O)n(C)c(=O)n(C)c32)cc1	Z281141996
CN(C[C@H]1C[C@@H](O)C1)c1ncnc2[nH]ccc12	Z2701343954
CC(C)(C)n1cc(CNCC2(O)CCC2)c(=O)[nH]c1=O	Z2998966221
CC1=CCCN(C(=O)NCc2cn(C(C)C)c(=O)[nH]c2=O)C1	Z3141238997
CC(C)c1nccc(NCc2cn(C)c(=O)[nH]c2=O)n1	Z3077736549
O=c1c2ncn(-c3ccccc3)c2ncn1CC(O)C1(O)CCCC1	Z2983032607
CCn1cc(CNc2ncncc2C)c(=O)[nH]c1=O	Z3077771951
O=c1[nH]c(C(F)(F)F)nc2c1ncn2CC1(O)CCCOC1	Z2983053028
Cn1cnc2c(=O)n(CC(O)C3CCC3)cnc21	Z3292798294
CCC1(O)CCN(c2ncnc3[nH]ccc23)C1	Z1744136164
Cc1cn2c(nc1=O)OC1C(O)C(COC(=O)c3ccccc3)OC12	Z56786760
CC1(C)CN(c2ncnc3c2ncn3CC2(O)CCOC2)C1C1CCCO1	Z2760973854
N#CCCN(CC1CCOC1)c1ncnc2c1ncn2CC1(CO)CCOCC1	Z2760944761
CCN(CC1CCCO1)c1ncnc2c1ncn2CC1(O)CCOC1C	Z2760941794
CCN1CC[C@H]2OCCN(c3ncnc4c3ncn4C3CC(CO)(CO)C3)[C@H]2C1	Z2760972712
CCN(c1ncnc2c1ncn2CC(CO)C1CCOC1)C(C)CS(C)(=O)=O	Z2760947107
OCC1(Cn2cnc3c(N4CCOCC4CC(F)F)ncnc32)COC1	Z2760969048
COCC1CN(c2ncnc3c2ncn3CC2(CO)CCOCC2)CC(C)O1	Z2760963320
O=C1CC2(CCCN(c3ncnc4c3ncn4CC(CO)C3CCOC3)C2)CN1	Z2760950320
CO[C@H]1C[C@@H](CN(C)c2ncnc3c2ncn3CC(CO)C2CCOC2)N(C)C1	Z2760968953
CN(CCO)C1CCN(c2ncnc3c2ncn3CC2(O)CCOC2)CC1	Z2760959656
COC1(C)CCCN(c2ncnc3c2ncn3C2CC(CO)(CO)C2)C1	Z2760968088
COc1ccc(C2CC(c3ccccc3)=NN2C(=O)Cn2c(=O)c(F)cn(C3CCCO3)c2=O)cc1	Z94557612
CC1Cc2ccccc2N1C(=O)Cn1c(=O)c(F)cn(C2CCCO2)c1=O	Z94556798
Cc1cc(C(=O)Cn2c(=O)c(F)cn(C3CCCO3)c2=O)c(C)n1C(C)c1ccccc1	Z107296874
O=C(Cn1c(=O)c(F)cn(C2CCCO2)c1=O)NC(c1ccccc1)c1ccccc1	Z107295528
O=c1c(F)cn(C2CCCO2)c(=O)n1Cc1nnc(-c2ccccc2Br)o1	Z107296270
O=C(Cn1c(=O)c(F)cn(C2CCCO2)c1=O)Nc1cc(C(F)(F)F)ccc1N1CCOCC1	Z94556753
O=C(Cn1c(=O)c(F)cn(C2CCCO2)c1=O)Nc1ccc(OCc2ccccc2)cc1	Z107295568
O=C(Cn1c(=O)c(F)cn(C2CCCO2)c1=O)Nc1ccc2c(c1)OCCCO2	Z107296888
