smiles	idnumber
OC1(Cn2ccnn2)CCN(c2cc(N3CCSCC3)ncn2)C1	Z2053681742
CC(C)Oc1ccc(CCNC(=O)C(O)C(C)(C)O)cc1	Z2690303262
Cc1ocnc1CNC(=O)CN1CCCCC(O)C1=O	Z2402641540
CO[C@@H]1CC(c2ncc[nH]2)N(C(=O)c2ccc3cc[nH]c3c2)C1	Z2696432618
COc1ccc(S(=O)(=O)N2CCC(c3nnc[nH]3)C2)cc1	Z2409437457
CNC(=O)C1(COC)CCCN1C(=O)c1ccc(F)c(Cl)c1	Z2389063689
CNC(=O)C1(COC)CCCN1C(=O)c1ccc(OC)nn1	Z2389066760
CN(Cc1nccs1)C1CC12CCN(C(=O)C1(NC(N)=O)CC1)CC2	Z1761491086
CO[C@@H]1CN(Cc2ccc(C#N)o2)C[C@H]1c1cn(C)nn1	Z2384762272
Cc1cc(C(=O)N[C@@H]2CCC(=O)N(C3CC3)[C@H]2c2nccn2C)[nH]n1	Z2394444115
COc1c(Cl)cc(Cl)cc1CN1C[C@H](OC)CC1c1ncc[nH]1	Z2696433691
Cc1coc(C)c1C(=O)N1CCCC(O)(Cc2nncn2C)C1	Z2391716946
O=C(CN1CCCCC(O)C1=O)NCCc1c[nH]c2ccccc12	Z2398010656
CN1C(=O)CC[C@@H](NC(=O)Nc2ccccc2)[C@@H]1c1ccnn1C	Z2051814696
CCC(NC(=O)c1cncnc1C)(C(=O)O)c1ccccc1	Z1869687442
CNC(=O)C1(COC)CCCN1C(=O)c1cc(F)c(Cl)cc1F	Z2389061494
CNC(=O)C1(COC)CCCN1C(=O)c1cncn1C	Z2389058306
Cc1noc(CC2(O)CCCN(C(=O)c3c(C)ccn3C)C2)n1	Z2390894454
COCCC1(C(=O)N2C[C@H](c3cnn(C)c3C)[C@@H](C(N)=O)C2)CC1	Z2391000898
Cc1noc([C@H]2CN(C(=O)c3cncnc3C3CC3)C[C@@H](C)O2)n1	Z2386293000
CCc1ccccc1C(=O)N1CCC[C@H](C(=O)O)[C@@H]1C	Z2376919064
Cn1cnnc1CC1(O)CCCN(C(=O)c2ccnn2C2CCCC2)C1	Z2391725029
Cc1[nH]c2ccccc2c1CCNC(=O)CN1CCCCC(O)C1=O	Z2400537901
COC1CCCCN(CC(=O)Nc2cn(-c3ccccc3)nc2C)C1=O	Z2402736237
CC(C)n1nccc1[C@@H]1NC(=O)CC[C@H]1NC(=O)c1cccnn1	Z2715370012
Cc1ncc(CNC(=O)[C@H]2CC(=O)N(C)[C@@H]2c2cnn(C)c2C)o1	Z2404352828
CNC(=O)C1(COC)CCCN1C(=O)c1cc(C)on1	Z2389080562
COc1cc(C(=O)N2CCCC2c2ccc(N)nn2)ccc1C	Z2385613562
COCCC(C)(C)C(=O)N1C[C@H](c2cnn(C)c2C)[C@@H](C(N)=O)C1	Z2391002687
CCn1nncc1C(=O)N[C@@H]1CCC(=O)N(C2CC2)[C@H]1c1nccn1C	Z2390767341
CO[C@@H]1CC(c2ncc[nH]2)N(Cc2ccnc(N)c2)C1	Z2696433552
O=C(NCc1nnc2ccccn12)N1CCC(Nc2ccc3nccn3n2)C1	Z1760097053
C=C(C)CC(NC(C)=O)C(=O)NCCc1ccc(OC(C)C)cc1	Z2621716790
Cc1noc(C)c1CCC(=O)N[C@@H]1CC(=O)N(C)[C@H]1c1ccnn1C	Z2055397441
Cc1noc(C)c1C(=O)NC(C)c1ccc(OCC(=O)O)cc1	Z2296011238
Cc1noc(C)c1NC(=O)[C@H]1CC(=O)N(C)[C@@H]1c1cnn(C)c1C	Z2058020020
CNC(=O)C1(COC)CCCN1C(=O)c1nn(C)cc1C	Z2389051987
Cc1nn(Cc2ccccc2)c(C)c1C1COCCN1C(=O)c1c[nH]c(=O)n(C)c1=O	Z1625828897
Cc1noc(CC2(O)CCCN(C(=O)c3[nH]ccc3C)C2)n1	Z2390891836
CC(=O)N(CC(=O)O)CC1CN(C(=O)c2cccc3c2OCO3)CCO1	Z1762713913
COC1(CCNC(=O)[C@H]2CCC(=O)N(C)[C@@H]2c2nccn2C)CCC1	Z2404357762
Cc1ccc(CNC(=O)CN2CCCC(O)(Cc3nncn3C)C2)cc1	Z2385261401
CNc1cnc(-c2noc(C3(C(F)(F)F)CCN(c4ccccn4)C3)n2)cn1	Z2608163519
Cc1nc(-c2cc(NC(=O)[C@H]3CCCO3)cc(C(F)(F)F)c2)n[nH]1	Z2358117602
NC(=O)CC1(O)CCCN(C(=O)c2ccc3[nH]ccc3c2)C1	Z2390797648
Cc1cc(N2CCCC(NC(=O)c3cccc4c3OCO4)C2=O)n(C)n1	Z1276236497
O=C(CC1(O)CCCN(Cc2ccccc2)C1)Nc1cn[nH]c1	Z2399153494
CO[C@@H]1C[C@@H](c2ncc[nH]2)N(Cc2noc(C)n2)C1	Z2386782735
Cc1noc(CC2(O)CCCN(C(=O)c3ccc(Cl)o3)C2)n1	Z2390907039
Cc1n[nH]c(CC(=O)N2CCC(c3nc(-c4ccncc4)no3)(C(F)(F)F)C2)n1	Z2608765848
Cc1cnc(NC(=O)[C@H]2CCC(=O)N(C)[C@@H]2c2nccn2C)o1	Z2401647149
OC1(Cn2ccnn2)CCN(Cc2ccc(OCC3CC3)cc2)C1	Z2054848545
Cc1oc(C#N)cc1C(=O)NC[C@@H]1OCCN(C)[C@H]1c1ccnn1C	Z2383095649
CNS(=O)(=O)CCNC(=O)N1CC(c2ccccc2)C2COCCC21	Z2120065782
Cn1nccc1[C@@H]1OCCC[C@H]1CNC(=O)c1ccc(C#N)[nH]1	Z2385446436
Cc1nnc([C@H]2CN(C(=O)c3cccc4nccnc34)C[C@@H](C)O2)o1	Z2392675779
CNC(=O)C1(COC)CCCN1C(=O)c1cn(C)cn1	Z2392502296
CO[C@@H]1CN(C(=O)c2c[nH]c(-c3ccccc3)n2)C[C@H]1c1cn(C)nn1	Z2394608306
CCn1cc(O[C@@H]2CN(c3ccc4nnc(C)n4n3)C[C@H]2O)cn1	Z2383677166
CCn1cc(O[C@@H]2CN(c3ccc4nncn4n3)C[C@H]2O)cn1	Z2383677729
